"Exporter","Importer",2013,2014,2015,2016,2017,2018,2019,2020
77,48,0,0,0,0,0,11,10,0
82,48,0,0,0,0,0,0,0,0
84,48,3,3,2,3,2,1,1,0
95,48,0,0,0,0,0,0,0,0
100,48,0,0,0,0,0,0,0,0
101,48,1,11,18,15,24,14,19,0
108,48,0,0,0,0,0,0,0,0
123,48,5,2,1,2,1,1,1,0
139,48,0,0,0,0,0,0,0,0
140,48,0,0,0,1,0,0,0,0
142,48,0,0,0,0,0,0,1,0
143,48,0,4,0,0,0,0,0,0
153,48,0,0,0,0,0,0,0,0
157,48,0,0,0,0,0,0,0,0
158,48,0,0,0,0,0,0,0,0
167,48,2,11,6,4,3,10,5,0
185,48,6,7,6,0,0,0,0,0
2,49,0,0,0,0,0,0,0,0
10,49,0,0,0,0,0,1,0,0
17,49,0,0,0,0,1,0,0,0
23,49,0,0,0,0,0,0,0,0
27,49,0,0,0,0,1,0,0,0
43,49,0,0,0,0,0,0,0,0
45,49,0,0,0,0,0,0,0,0
46,49,7,1,0,0,2,0,0,0
47,49,0,0,0,0,0,0,0,0
57,49,1,2,2,1,0,0,0,0
60,49,0,0,0,0,0,0,0,0
61,49,0,3,1,1,3,1,3,0
65,49,0,0,0,2,2,0,1,0
67,49,0,0,0,0,0,1,1,0
76,49,0,0,0,0,0,0,0,0
77,49,5,5,2,0,0,0,0,0
82,49,0,0,0,0,0,0,0,0
84,49,0,0,0,21,0,0,0,0
95,49,4,1,3,3,2,1,0,0
100,49,0,0,0,1,1,0,0,0
101,49,0,3,8,11,8,5,3,0
108,49,0,0,0,0,0,0,0,0
123,49,1,0,0,0,1,1,1,0
139,49,0,0,1,1,3,1,2,0
140,49,0,0,0,0,0,0,0,0
142,49,1,0,0,0,0,0,0,0
143,49,13,16,7,4,5,6,3,0
153,49,0,0,0,0,0,0,0,0
157,49,0,0,0,0,0,0,0,0
158,49,0,0,0,0,0,0,0,0
167,49,0,3,3,2,1,2,2,0
185,49,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,0
10,50,3,3,3,3,3,4,3,0
17,50,9,9,14,13,14,20,13,0
23,50,0,0,0,0,0,0,0,0
27,50,0,0,0,0,0,0,0,0
43,50,0,0,0,0,0,0,0,0
45,50,0,0,0,0,1,1,0,0
46,50,0,0,0,0,0,13,1,0
47,50,22,36,33,20,14,17,15,0
57,50,0,1,0,0,0,0,0,0
60,50,21,1,4,2,3,-1,3,0
61,50,56,48,51,46,66,61,69,0
65,50,41,56,63,65,76,107,88,0
67,50,1,1,11,10,12,27,24,0
76,50,0,0,0,1,0,1,1,0
77,50,1,0,0,2,3,0,2,0
82,50,3,0,4,3,1,4,3,0
84,50,41,52,48,44,35,51,73,0
95,50,0,1,0,0,1,0,1,0
100,50,1,1,1,1,3,0,0,0
101,50,13,8,10,15,23,14,15,0
123,50,107,53,72,64,84,93,107,0
139,50,0,0,0,1,1,1,1,0
140,50,1,1,2,4,8,4,6,0
142,50,0,0,0,1,0,0,0,0
143,50,2,1,2,3,3,1,4,0
153,50,0,0,0,0,0,0,0,0
157,50,0,0,0,0,0,0,0,0
158,50,0,0,0,0,0,0,0,0
167,50,37,25,18,31,24,24,28,0
185,50,14,13,14,0,0,0,0,0
186,50,1796,1842,1996,2178,2387,2492,2716,1754
2,52,0,0,0,0,0,0,0,0
10,52,7,13,7,3,2,4,3,0
17,52,12,15,14,12,41,77,82,0
23,52,0,0,0,0,0,0,0,0
27,52,0,0,0,0,0,0,0,0
43,52,0,0,0,0,0,0,0,0
45,52,0,0,0,0,0,0,0,0
46,52,1,1,1,0,1,8,1,0
47,52,119,123,92,64,71,58,48,0
57,52,0,0,0,0,0,0,0,0
60,52,32,23,11,6,6,7,15,0
61,52,62,74,72,82,98,93,91,0
65,52,162,155,149,117,145,155,154,0
67,52,3,0,22,18,19,24,25,0
76,52,1,0,1,0,3,2,2,0
77,52,0,0,0,0,0,0,0,0
82,52,9,0,26,42,11,14,13,0
84,52,61,50,38,31,20,31,23,0
95,52,0,0,0,0,0,0,0,0
100,52,0,2,0,0,1,0,0,0
101,52,82,66,69,97,66,67,78,0
123,52,426,284,244,178,201,235,262,0
139,52,2,3,1,2,0,0,2,0
140,52,3,3,2,3,5,7,8,0
142,52,0,0,0,1,0,1,1,0
143,52,13,37,15,23,2,2,3,0
153,52,0,0,0,0,0,0,0,0
157,52,0,0,0,0,0,0,0,0
158,52,0,0,0,0,0,0,0,0
167,52,15,17,14,12,13,27,33,0
185,52,241,418,84,0,0,0,0,0
2,53,0,0,0,0,0,0,1,0
10,53,86,106,99,71,37,133,71,0
17,53,129,189,527,152,192,234,169,0
23,53,0,0,2,2,2,3,4,0
27,53,6,7,8,9,7,28,32,0
33,53,102,96,85,85,101,107,114,0
43,53,1,3,5,3,3,4,4,0
45,53,16,24,22,13,21,18,18,0
46,53,24,18,19,15,11,42,18,0
47,53,275,247,353,229,275,333,371,0
57,53,1,1,2,1,1,2,1,0
60,53,20,24,34,41,42,43,50,0
61,53,785,626,849,942,1125,991,952,0
65,53,434,472,486,475,441,554,530,0
67,53,56,42,396,360,393,559,630,0
76,53,37,18,24,30,15,18,26,0
77,53,0,0,0,0,0,1,1,0
82,53,424,399,253,253,259,170,329,0
84,53,269,460,386,314,309,410,561,0
95,53,1,5,1,1,1,1,1,0
100,53,32,22,0,0,1,0,4,0
101,53,69,62,51,59,80,70,63,0
105,53,93,114,86,58,58,126,152,46
108,53,4,0,0,0,7,0,0,0
123,53,398,248,651,316,329,313,400,0
124,53,2,3,3,2,2,3,0,0
139,53,23,34,27,32,23,19,21,0
140,53,74,40,14,38,66,8,9,0
142,53,16,17,16,18,28,14,12,0
143,53,45,42,70,37,81,274,153,0
153,53,3,1,1,1,8,6,3,0
157,53,2,3,2,4,5,6,4,0
158,53,1,4,1,3,6,8,10,0
163,53,282,395,353,446,399,372,273,0
167,53,70,144,106,78,92,163,122,0
185,53,727,872,1074,945,797,923,845,862
2,54,0,0,0,0,0,0,0,0
10,54,3,1,1,1,2,2,2,0
17,54,3,3,2,3,1,4,6,0
23,54,0,0,0,0,0,0,0,0
27,54,0,0,0,0,0,0,0,0
33,54,18,12,20,13,18,17,17,0
43,54,0,0,0,0,1,0,1,0
45,54,0,0,0,0,0,0,0,0
46,54,0,0,5,1,1,0,0,0
47,54,29,30,18,14,13,11,13,0
57,54,0,0,0,0,0,0,0,0
60,54,1,1,8,2,3,2,-4,0
61,54,8,13,12,21,46,30,21,0
65,54,50,41,42,38,34,41,53,0
67,54,0,2,4,3,5,1,4,0
76,54,0,0,0,0,0,0,0,0
77,54,0,0,0,1,0,1,1,0
82,54,37,0,22,19,16,8,7,0
84,54,4,8,13,2,7,1,2,0
95,54,0,0,0,0,0,0,0,0
100,54,0,0,0,0,0,0,0,0
101,54,13,20,22,19,33,11,4,0
108,54,0,0,0,0,0,0,0,0
123,54,28,49,42,26,32,41,48,0
139,54,0,0,0,0,0,0,0,0
140,54,0,0,0,1,1,1,1,0
142,54,0,0,0,0,0,0,0,0
143,54,0,0,0,3,1,1,1,0
153,54,0,0,0,0,0,0,0,0
157,54,0,0,0,0,0,0,0,0
158,54,0,0,0,0,0,0,0,0
167,54,20,14,20,63,25,13,19,0
185,54,6,7,6,0,0,0,0,0
186,54,1006,1080,1208,1268,1299,1446,1488,835
2,55,0,0,0,0,0,0,0,0
10,55,0,0,0,0,0,0,0,0
17,55,28,21,23,21,9,13,10,0
23,55,0,0,0,0,0,0,0,0
27,55,0,0,0,0,0,0,0,0
43,55,0,0,0,0,0,0,0,0
45,55,0,0,0,0,0,0,0,0
46,55,0,2,1,1,1,1,1,0
47,55,4,63,3,1,2,2,3,0
57,55,0,0,0,0,0,0,0,0
60,55,0,0,0,0,0,0,0,0
61,55,220,250,68,41,20,15,0,0
65,55,11,17,16,14,0,0,0,0
67,55,0,0,9,10,14,17,21,0
76,55,0,0,0,0,0,0,0,0
77,55,0,0,0,0,0,0,0,0
82,55,0,0,1,1,0,0,0,0
84,55,2,1,1,1,0,0,0,0
95,55,0,0,0,0,0,0,0,0
100,55,0,0,0,0,0,0,0,0
101,55,0,0,0,1,2,1,1,0
123,55,39,20,24,16,5,4,5,0
139,55,0,0,0,0,0,0,0,0
140,55,11,36,21,28,7,9,13,0
142,55,0,0,1,0,0,0,0,0
143,55,2,1,0,0,0,1,0,0
153,55,3,3,1,2,1,1,1,0
157,55,0,0,0,0,0,0,0,0
158,55,0,0,0,0,0,0,1,0
167,55,0,0,0,0,0,0,0,0
185,55,128,184,130,0,0,0,0,0
2,56,0,0,0,0,0,0,0,0
10,56,0,0,0,0,0,0,0,0
17,56,0,0,0,0,1,1,1,0
23,56,0,0,0,0,0,0,0,0
27,56,0,0,0,0,0,0,0,0
43,56,0,0,0,0,0,0,0,0
45,56,0,0,0,0,0,0,0,0
46,56,0,0,0,0,0,4,0,0
47,56,1,1,0,2,0,0,1,0
57,56,0,0,0,0,0,0,0,0
60,56,0,3,1,1,1,0,0,0
61,56,0,0,0,0,0,0,0,0
65,56,5,1,1,2,2,1,1,0
67,56,0,0,1,1,1,1,0,0
76,56,0,0,0,0,0,0,0,0
77,56,0,0,0,0,0,0,0,0
82,56,0,0,0,0,0,0,0,0
84,56,3,1,10,5,1,1,3,0
95,56,0,0,0,0,0,0,0,0
100,56,0,0,0,0,0,0,0,0
101,56,1,1,1,1,2,5,2,0
108,56,0,0,0,0,0,0,0,0
123,56,4,4,8,5,5,4,2,0
139,56,0,0,0,0,1,0,0,0
140,56,0,0,0,0,0,0,0,0
142,56,0,0,0,0,0,0,0,0
143,56,0,0,1,2,0,0,0,0
153,56,0,0,0,0,0,0,0,0
157,56,0,0,0,0,0,0,0,0
158,56,0,0,0,0,0,0,0,0
167,56,0,0,0,0,1,0,0,0
185,56,0,2,0,0,0,0,0,0
2,57,0,0,0,0,3,3,2,0
10,57,40,43,36,41,45,50,68,53
17,57,39,52,61,73,70,99,115,121
23,57,0,0,0,0,1,1,1,0
27,57,10,8,5,11,15,17,18,0
43,57,2,6,5,8,7,6,13,2
45,57,15,0,4,2,1,1,1,1
46,57,28,22,31,25,26,74,35,242
47,57,115,131,128,100,125,138,119,0
60,57,588,579,571,589,660,866,768,564
61,57,53,94,39,71,54,176,184,142
65,57,173,209,169,162,0,244,289,0
67,57,29,50,52,63,54,74,77,0
76,57,14,44,2,3,5,7,10,10
77,57,9,12,11,9,12,21,15,0
82,57,53,28,21,0,44,66,100,158
84,57,69,89,67,48,71,68,59,42
95,57,219,263,261,303,361,439,386,250
100,57,184,191,187,198,263,307,346,287
101,57,70,102,101,75,70,77,57,0
108,57,8,0,0,0,0,0,0,0
123,57,50,74,64,66,90,127,137,130
124,57,1,1,1,1,2,2,0,0
139,57,81,125,95,96,137,176,194,167
140,57,36,20,11,12,19,35,31,29
142,57,33,26,9,9,12,12,22,22
143,57,454,560,377,408,383,528,638,0
153,57,5,4,4,10,9,11,13,14
157,57,5,5,5,8,9,11,13,0
158,57,5,5,10,7,6,11,12,11
163,57,69,102,80,127,151,152,107,0
167,57,245,537,341,309,385,384,256,220
185,57,58,53,57,85,99,84,287,199
186,57,113,137,133,141,161,186,166,116
2,58,0,0,0,0,0,0,0,0
10,58,1,3,3,3,3,5,18,0
17,58,28,28,24,28,38,113,151,0
23,58,0,0,1,2,8,2,1,0
27,58,0,0,0,0,0,0,0,0
43,58,0,0,0,0,0,0,0,0
45,58,0,0,0,0,0,0,0,0
46,58,0,0,0,1,0,12,4,0
47,58,42,37,60,62,60,42,59,0
57,58,0,0,0,0,0,0,0,0
60,58,5,5,4,4,3,4,4,0
61,58,0,50,51,39,60,0,54,0
65,58,89,108,97,101,86,63,58,0
67,58,0,0,0,0,0,1,1,0
76,58,1,1,0,0,0,0,0,0
77,58,0,0,1,0,0,0,0,0
82,58,0,69,71,90,122,203,204,0
84,58,22,27,29,97,83,69,75,0
95,58,0,0,0,0,0,0,0,0
100,58,0,0,0,0,0,0,0,0
101,58,41,60,47,32,40,35,29,0
108,58,0,0,0,0,0,0,0,0
123,58,87,33,28,23,18,20,26,0
139,58,15,13,7,2,1,6,1,0
140,58,1,1,1,1,1,1,1,0
142,58,0,0,0,0,0,0,0,0
143,58,1,1,0,3,3,3,1,0
153,58,0,0,0,0,0,0,0,0
157,58,0,0,0,0,0,0,0,0
158,58,0,0,0,0,0,1,1,0
167,58,10,25,120,40,6,15,9,0
185,58,66,95,90,0,0,0,0,0
2,59,0,0,0,0,0,0,0,0
9,59,141,164,146,142,173,155,0,0
10,59,0,0,0,0,0,1,0,0
17,59,1,1,1,1,1,1,1,0
23,59,0,0,0,0,0,0,0,0
27,59,0,0,0,0,0,0,0,0
43,59,0,0,0,0,0,0,0,0
45,59,0,0,0,0,0,0,0,0
46,59,0,0,0,0,0,0,0,0
47,59,2,0,1,0,3,0,0,0
57,59,0,0,0,0,0,0,0,0
60,59,0,0,0,0,0,0,0,0
61,59,0,0,8,10,0,0,0,0
65,59,3,5,6,0,6,5,3,0
67,59,0,0,2,2,2,1,0,0
76,59,0,0,0,0,0,0,0,0
77,59,0,0,0,0,0,0,0,0
82,59,0,0,0,22,18,18,26,0
84,59,2,0,0,3,0,1,0,0
95,59,0,0,0,0,0,0,0,0
100,59,0,0,0,0,0,0,0,0
101,59,1,0,0,1,0,0,0,0
108,59,0,0,0,0,0,0,0,0
123,59,8,4,4,6,8,7,8,0
124,59,106,110,116,114,125,133,0,0
139,59,0,0,0,0,0,0,0,0
140,59,0,0,0,0,0,0,0,0
142,59,0,0,0,0,1,2,1,0
143,59,0,0,0,0,0,0,0,0
153,59,0,0,0,0,0,0,0,0
157,59,0,0,0,0,0,0,0,0
158,59,0,0,0,0,0,0,0,0
167,59,0,0,0,0,3,2,0,0
185,59,42,13,29,0,0,0,0,0
2,60,0,0,0,0,2,4,4,0
10,60,389,414,359,403,408,461,455,462
17,60,506,639,518,553,729,709,881,742
23,60,0,0,2,2,2,2,4,0
27,60,43,46,39,47,60,74,73,0
33,60,128,115,95,96,99,119,118,0
43,60,41,31,33,58,80,100,96,31
45,60,27,28,21,21,34,33,26,0
46,60,182,182,196,209,230,306,244,176
47,60,1404,1340,1105,1097,1203,1476,1571,0
57,60,1893,1951,1609,1620,1737,1884,1914,1410
61,60,578,602,622,635,1199,2558,1858,1265
65,60,1671,1743,1516,1540,1623,1698,1692,0
67,60,197,218,159,211,269,268,312,0
75,60,46,51,44,39,37,38,33,0
76,60,194,261,218,223,223,262,267,204
77,60,57,64,47,60,65,61,51,0
82,60,1337,1233,1143,1240,1390,1555,1690,688
84,60,556,485,387,350,399,506,756,661
95,60,129,126,114,106,123,158,175,138
100,60,134,143,139,154,158,195,257,216
101,60,582,659,557,552,578,740,665,0
108,60,32,0,0,0,113,0,0,0
123,60,1689,1648,1494,1664,2146,2677,3183,2487
124,60,10,13,15,14,16,15,0,0
139,60,543,634,666,707,832,1021,1048,1005
140,60,239,195,191,194,252,320,315,199
142,60,39,43,39,55,61,95,160,153
143,60,1236,1223,871,754,868,810,694,0
153,60,8,8,9,9,9,18,22,24
157,60,35,30,29,30,30,39,47,0
158,60,22,18,18,20,30,36,31,19
163,60,1171,1131,896,895,1027,1105,1200,0
167,60,5051,5296,5000,5285,5475,5320,5226,4493
168,60,464,568,502,515,495,605,0,0
185,60,1857,2272,1839,1530,1595,1844,2157,1664
186,60,2417,2165,1908,2236,2243,1883,1936,1472
2,61,0,0,0,0,48,63,58,0
9,61,778,839,781,724,711,776,0,0
10,61,1489,1566,1324,1335,1440,1643,1687,1363
17,61,16422,18073,14548,14391,14975,15193,13819,12780
23,61,0,0,30,31,35,39,40,0
27,61,322,341,330,350,345,432,447,0
33,61,2516,2701,2373,2621,2684,3095,3149,0
37,61,0,0,3666,3756,0,0,0,0
43,61,325,337,284,257,380,379,435,237
45,61,72,72,72,65,78,90,74,73
46,61,874,868,874,922,1009,995,1103,784
47,61,1409,1493,1236,1170,1359,1777,1795,0
57,61,75,76,75,78,97,161,146,125
60,61,618,591,624,601,698,991,1601,1088
65,61,17335,18319,18783,20066,20966,25121,25654,22988
67,61,2116,2457,1716,1366,1567,1724,1808,0
75,61,1706,1833,1892,1791,1747,1788,1783,0
76,61,618,748,640,697,731,784,766,554
77,61,125,170,189,211,243,233,189,65
82,61,6492,7122,6706,7114,7527,9809,10173,9610
84,61,9064,9373,8294,8785,10254,10780,10879,8382
86,61,0,2249,2197,2909,3031,3361,0,0
95,61,80,186,154,157,190,249,228,188
100,61,250,289,0,0,579,808,1100,1068
101,61,10223,11085,9998,10414,11850,12909,13307,0
105,61,699,468,373,316,332,305,302,154
108,61,616,0,0,0,683,0,0,0
123,61,8061,9948,8907,9250,11397,13832,14011,12896
124,61,267,293,259,296,324,309,0,0
139,61,2083,2173,1927,2098,2289,2710,2725,2625
140,61,3954,3975,3839,4359,4998,5598,5438,3880
142,61,1798,2033,1689,1897,2246,2394,2547,2293
143,61,1178,1533,1599,1911,2966,2455,1715,0
153,61,101,117,112,113,111,150,172,180
156,61,1338,1460,1605,1563,1767,2129,2041,0
157,61,308,304,259,284,319,359,286,0
158,61,187,222,212,230,280,367,366,296
163,61,15991,16394,13471,14033,15576,16984,17337,0
167,61,3876,3635,3354,2941,3034,2259,2611,2932
168,61,8600,9114,7980,7597,7331,7584,0,0
185,61,18519,26270,20953,18985,19687,21918,20599,16732
186,61,19415,19647,19850,20129,20218,21473,22306,15492
2,62,0,0,0,0,0,0,0,0
10,62,46,45,45,40,32,26,4,0
17,62,77,66,61,72,29,26,24,0
23,62,0,0,0,0,0,0,0,0
27,62,0,0,0,0,0,0,0,0
43,62,0,0,0,0,0,0,0,0
45,62,0,0,0,0,0,0,0,0
46,62,0,5,4,2,1,1,1,0
47,62,7,9,10,6,8,11,16,0
57,62,0,0,0,0,0,0,0,0
60,62,4,0,0,1,1,0,0,0
61,62,1069,1208,615,607,618,579,583,0
65,62,9,9,10,0,0,12,0,0
67,62,1,0,26,22,23,28,28,0
76,62,0,0,0,0,0,0,0,0
77,62,0,0,0,0,0,0,0,0
82,62,0,0,0,0,0,0,0,0
84,62,1,3,41,4,1,2,1,0
95,62,0,0,0,0,0,0,0,0
100,62,0,0,0,0,0,0,0,0
101,62,3,3,1,1,1,1,1,0
123,62,210,182,167,105,54,29,12,0
139,62,0,0,0,1,0,0,0,0
140,62,9,4,14,9,3,2,2,0
142,62,4,4,2,2,0,1,1,0
143,62,0,0,0,0,0,0,0,0
153,62,1,1,1,2,3,0,0,0
157,62,0,0,46,0,0,0,0,0
158,62,0,0,0,0,0,0,0,0
167,62,17,13,15,4,2,6,7,0
185,62,84,120,153,0,0,0,0,0
2,64,0,0,0,0,0,1,0,0
10,64,13,24,18,25,25,28,40,0
17,64,23,29,23,27,32,39,56,0
23,64,0,0,0,0,0,0,0,0
27,64,23,26,21,24,32,43,54,0
43,64,1,1,1,0,6,1,1,0
45,64,3,5,2,1,0,2,1,0
46,64,34,23,16,10,12,160,18,0
47,64,19,14,30,29,29,40,65,0
57,64,9,10,7,7,7,9,7,0
60,64,3,4,1,3,6,4,8,0
61,64,191,232,200,40,40,176,169,0
67,64,9,12,14,14,16,14,33,0
76,64,2,2,4,5,18,34,46,0
77,64,1,1,1,0,1,0,1,0
82,64,0,0,0,0,0,0,0,0
84,64,18,23,25,20,16,24,44,0
95,64,8,8,8,12,16,12,15,0
100,64,7,14,4,4,5,0,20,0
101,64,4,4,1,2,11,17,15,0
108,64,1,0,0,0,1,0,0,0
123,64,45,26,21,23,32,53,42,0
139,64,21,16,12,15,21,47,76,0
140,64,1,1,1,1,2,2,3,0
142,64,35,23,40,20,24,12,6,0
143,64,48,51,72,63,66,80,77,0
153,64,5,1,3,1,3,2,4,0
157,64,5,0,0,0,1,0,0,0
158,64,0,0,1,1,1,2,1,0
167,64,11,13,11,11,9,6,7,0
185,64,31,99,61,0,0,0,0,0
2,65,0,0,0,0,281,311,381,0
9,65,1191,1189,1087,1212,1259,1334,0,0
10,65,26330,27497,23872,24878,27394,30153,29945,25996
17,65,10208,11333,9560,9579,10012,10806,10442,10238
23,65,0,0,230,240,261,295,265,0
27,65,1023,1284,1056,1205,1218,1405,1499,0
33,65,2311,2157,1622,1773,1912,2425,2405,0
37,65,0,0,7678,7964,0,0,0,0
43,65,2562,2466,2438,2430,2626,3017,3210,2160
45,65,1077,582,1187,1228,1303,1437,1200,1251
46,65,5574,5789,4536,4938,5419,5415,5785,4573
47,65,6859,6736,7147,7200,8967,8955,7910,0
57,65,299,304,277,327,359,467,477,376
60,65,1934,2223,2006,1975,2414,2928,3138,2320
61,65,30637,31070,25928,24708,26954,30240,30055,26130
67,65,4730,5607,4100,3951,4306,4438,4190,0
75,65,2978,2943,2811,2440,2771,3130,3033,0
76,65,4149,4709,3995,4313,4943,5294,5452,4215
77,65,226,270,308,370,428,397,362,215
82,65,11525,12283,11610,12172,12882,17064,18245,19645
84,65,12186,12799,11160,11389,12609,14305,14663,10160
86,65,0,4759,4609,4691,4886,4661,0,0
95,65,252,367,327,360,408,455,470,447
100,65,750,831,0,0,1101,1480,1752,1791
101,65,13617,15692,14516,15468,16767,18532,20243,0
105,65,824,861,737,780,898,1025,846,625
108,65,749,0,0,0,1992,0,0,0
123,65,23311,26028,23622,24937,28535,33031,35236,28598
124,65,354,520,533,582,522,596,0,0
139,65,10964,11893,10714,11693,13557,15871,16731,15910
140,65,2769,2808,2628,2808,3357,4022,3892,2487
142,65,3250,3733,3377,3622,4201,5069,5330,5130
143,65,4543,4162,2697,2646,3025,3437,3495,0
153,65,466,496,462,520,606,747,850,807
156,65,3055,3128,2472,2749,2704,3551,3529,0
157,65,1489,1498,1327,1388,1577,1946,1969,0
158,65,1019,1147,960,1049,1220,1406,1419,1394
163,65,16142,16063,14039,14715,16446,17419,16765,0
167,65,6124,5866,5447,4659,4781,5130,4775,4729
168,65,13793,14978,13558,14339,14223,14703,0,0
183,65,1,1,0,0,0,0,0,0
185,65,21169,23622,22122,22645,24600,26012,23644,21558
186,65,28220,29272,31138,33235,34484,35478,36227,29594
2,66,0,0,0,0,0,0,0,0
10,66,17,13,4,8,17,6,8,0
17,66,105,112,97,84,117,113,92,0
23,66,0,0,0,0,0,0,0,0
27,66,0,0,1,1,0,0,0,0
43,66,0,0,0,0,1,0,0,0
45,66,0,0,0,0,0,0,0,0
46,66,1,1,1,1,1,5,6,0
47,66,24,27,54,68,113,127,121,0
57,66,0,0,0,0,1,0,2,0
60,66,7,5,3,6,7,5,3,0
61,66,96,0,0,0,149,112,111,0
65,66,41,43,42,49,55,58,66,0
67,66,12,5,40,34,38,47,59,0
76,66,3,5,4,3,3,4,1,0
77,66,0,0,0,0,0,0,0,0
82,66,0,19,14,22,31,34,0,0
84,66,30,25,11,16,12,11,45,0
95,66,0,0,1,0,0,0,1,0
100,66,0,0,0,0,0,0,0,0
101,66,65,78,61,42,33,35,35,0
108,66,1,0,0,0,1,0,0,0
123,66,284,142,101,103,88,107,92,0
139,66,0,0,0,1,1,1,1,0
140,66,16,8,34,15,9,12,13,0
142,66,1,1,1,1,1,2,3,0
143,66,3,0,1,1,1,1,1,0
153,66,1,1,2,1,2,1,2,0
157,66,0,0,0,0,0,0,0,0
158,66,0,1,0,0,0,0,0,0
167,66,63,47,67,41,45,46,44,0
185,66,464,658,822,0,0,0,0,0
2,67,0,0,0,0,438,489,525,0
9,67,91,78,66,65,76,70,0,0
10,67,166,178,159,161,178,215,229,166
17,67,380,300,262,282,298,302,387,272
23,67,0,0,9,8,8,9,10,0
27,67,493,527,407,441,462,518,488,0
33,67,283,282,228,235,254,309,305,0
43,67,17,13,13,15,14,21,21,14
45,67,486,385,325,369,400,468,478,473
46,67,90,96,76,71,74,129,92,65
47,67,211,250,220,173,158,163,206,0
57,67,15,20,13,12,14,18,15,7
60,67,43,43,45,52,41,35,227,0
61,67,485,535,306,496,621,462,457,469
65,67,1114,1177,1022,1111,1121,1252,1273,0
75,67,0,0,0,0,0,0,0,0
76,67,64,66,65,68,74,84,87,87
77,67,10,9,10,12,9,10,9,0
82,67,477,1016,328,344,425,465,602,481
84,67,731,718,618,766,603,626,562,469
95,67,15,11,12,12,15,15,13,21
100,67,9,9,0,0,24,13,9,12
101,67,157,190,216,221,236,223,221,0
108,67,41,0,0,0,70,0,0,0
123,67,825,637,489,521,710,821,849,850
124,67,3,3,3,4,4,4,0,0
139,67,73,63,55,68,89,104,92,59
140,67,60,72,51,35,41,52,49,33
142,67,160,161,145,136,160,171,198,144
143,67,172,143,135,130,124,133,109,0
153,67,66,64,43,48,55,70,93,63
157,67,22,22,26,32,30,29,33,0
158,67,26,21,17,23,36,35,43,31
163,67,287,349,377,426,472,507,447,0
167,67,135,95,104,84,84,86,99,84
168,67,525,618,535,529,529,585,0,0
185,67,2087,2080,2096,2027,2122,2265,3756,1392
186,67,1352,1412,1330,1314,1617,1768,1653,1168
2,68,0,0,0,0,0,0,0,0
10,68,7,5,4,2,0,0,0,0
17,68,1,0,0,0,0,0,0,0
23,68,0,0,0,0,0,0,0,0
27,68,0,0,0,0,0,0,0,0
43,68,0,0,0,0,0,0,0,0
45,68,0,0,0,0,0,0,0,0
46,68,0,0,0,0,0,0,0,0
47,68,0,0,0,0,0,0,0,0
57,68,0,0,0,0,0,0,0,0
60,68,0,0,0,0,0,0,0,0
61,68,0,0,1,0,2,0,0,0
65,68,0,1,0,0,0,0,0,0
67,68,0,0,0,0,0,0,0,0
76,68,0,0,1,0,0,0,0,0
77,68,0,0,0,0,0,0,0,0
82,68,0,0,0,0,0,0,0,0
84,68,0,0,0,0,0,0,0,0
95,68,0,0,0,0,0,0,0,0
100,68,0,0,0,0,0,0,0,0
101,68,8,29,16,7,9,8,2,0
108,68,0,0,0,0,0,0,0,0
123,68,2,1,0,1,2,1,1,0
139,68,1,2,1,2,3,3,3,0
140,68,0,0,0,0,0,0,1,0
142,68,0,0,0,0,0,0,0,0
143,68,0,0,0,0,0,0,0,0
153,68,0,0,0,0,0,0,0,0
157,68,0,0,0,0,0,0,0,0
158,68,1,0,0,0,0,0,0,0
167,68,1,6,3,2,1,1,2,0
185,68,6,3,5,0,0,0,0,0
2,69,0,0,0,0,0,0,0,0
10,69,7,7,8,10,9,11,6,0
17,69,8,5,8,7,8,13,10,0
23,69,0,0,0,0,0,0,0,0
27,69,0,0,0,1,0,0,0,0
33,69,34,24,54,22,27,25,27,0
43,69,0,0,0,0,0,0,0,0
45,69,0,0,0,0,0,0,0,0
46,69,1,0,0,1,0,4,1,0
47,69,38,50,28,20,19,21,22,0
57,69,0,0,0,0,0,0,0,0
60,69,3,3,10,3,5,2,3,0
61,69,19,20,19,44,28,40,35,0
65,69,37,50,60,70,81,90,83,0
67,69,1,2,8,8,10,10,10,0
76,69,0,0,0,0,0,0,0,0
77,69,0,0,0,0,0,0,0,0
82,69,3,5,3,2,5,4,6,0
84,69,18,20,23,24,15,18,9,0
95,69,0,0,0,0,0,0,0,0
100,69,0,0,0,0,0,0,0,0
101,69,5,15,14,7,9,43,41,0
123,69,26,22,23,19,39,66,68,0
139,69,0,0,0,1,1,1,1,0
140,69,0,1,1,1,2,2,2,0
142,69,0,0,0,0,0,0,0,0
143,69,0,0,0,0,0,1,1,0
153,69,0,0,0,0,0,0,0,0
157,69,0,0,0,0,0,0,0,0
158,69,0,0,0,0,0,0,0,0
167,69,8,15,10,7,7,12,15,0
185,69,16,13,12,0,0,0,0,0
186,69,1421,1480,1537,1596,1660,1701,1634,941
2,70,0,0,0,0,0,0,0,0
10,70,0,0,0,0,1,0,1,0
17,70,29,24,32,28,32,25,24,0
23,70,0,0,0,0,0,0,0,0
27,70,0,0,0,0,0,0,0,0
43,70,0,0,0,0,0,0,0,0
45,70,0,0,0,0,0,0,0,0
