"Exporter","Importer",2013,2014,2015,2016,2017,2018,2019,2020
167,5,2,4,4,3,3,4,3,0
185,5,12,7,24,0,0,0,0,0
2,6,0,0,0,0,1,1,2,0
10,6,28,24,20,19,23,22,22,0
17,6,135,130,126,147,114,135,132,0
23,6,0,0,0,0,0,0,0,0
27,6,2,2,2,2,3,3,3,0
33,6,138,170,164,117,113,120,124,0
43,6,3,8,3,5,27,11,6,0
45,6,0,25,1,0,0,0,0,0
46,6,5,7,4,5,3,3,4,0
47,6,187,181,166,150,170,190,204,0
57,6,2,1,1,1,2,1,3,0
60,6,48,48,54,69,69,28,30,0
61,6,703,736,608,526,634,687,521,0
65,6,754,699,632,698,918,921,817,0
67,6,50,62,211,206,279,290,388,0
75,6,0,0,0,0,0,0,0,0
76,6,2,2,3,4,22,19,3,0
77,6,1,1,1,1,3,3,2,0
82,6,105,116,189,206,183,99,54,0
84,6,665,661,703,668,949,1059,909,0
95,6,0,0,1,0,0,4,1,0
100,6,2,6,0,0,5,0,1,0
101,6,70,69,71,61,78,56,44,0
108,6,0,0,0,0,1,0,0,0
123,6,710,615,620,537,691,873,0,0
139,6,3,6,8,8,8,10,10,0
140,6,36,25,36,41,59,54,49,0
142,6,2,2,2,2,3,4,4,0
143,6,3,7,4,4,6,5,8,0
153,6,0,0,0,0,0,0,1,0
157,6,2,1,1,1,1,1,1,0
158,6,1,1,0,1,1,1,1,0
163,6,1133,1216,1102,1111,1377,1574,1374,0
167,6,114,221,141,316,307,234,261,0
185,6,439,295,454,470,606,587,476,332
186,6,7092,6881,8013,7713,8633,8386,7588,4155
2,7,0,0,0,0,0,0,0,0
10,7,20,20,13,12,16,14,22,0
17,7,8,24,7,8,8,9,11,0
23,7,0,0,0,0,0,0,0,0
27,7,8,8,7,7,5,7,9,0
43,7,2,1,0,1,1,4,2,0
45,7,0,0,0,0,0,0,0,0
46,7,4,3,3,3,4,5,6,0
47,7,2,4,4,5,5,4,5,0
57,7,1,1,1,0,0,2,6,0
60,7,4,4,1,2,1,1,1,0
61,7,29,28,27,14,78,76,72,0
65,7,29,32,39,0,0,0,0,0
67,7,5,3,3,9,3,8,9,0
76,7,0,0,0,0,0,0,0,0
77,7,0,0,0,0,0,0,0,0
82,7,1,5,-3,1,-14,0,0,0
84,7,19,18,8,7,8,12,26,0
95,7,3,3,13,7,9,4,6,0
100,7,1,1,2,1,2,0,10,0
101,7,3,11,16,8,2,2,1,0
108,7,1,0,0,0,0,0,0,0
123,7,11,8,6,6,10,11,8,0
139,7,6,11,11,11,17,15,16,0
140,7,0,0,1,1,1,1,4,0
142,7,1,1,1,1,1,1,3,0
143,7,360,319,288,313,373,403,361,0
153,7,0,0,0,0,0,2,4,0
157,7,0,0,0,0,0,0,0,0
158,7,0,0,0,1,2,1,1,0
167,7,18,26,9,10,7,8,10,0
185,7,6,18,12,0,0,0,0,0
2,8,0,0,0,0,0,0,0,0
10,8,3,0,2,1,0,0,0,0
17,8,0,1,1,2,1,2,1,0
23,8,0,0,0,0,0,0,0,0
27,8,0,0,0,0,0,0,0,0
43,8,5,1,0,0,0,0,0,0
45,8,0,0,0,0,0,0,0,0
46,8,0,0,0,0,0,38,0,0
47,8,0,4,0,4,2,7,4,0
57,8,0,0,0,0,0,0,0,0
60,8,0,1,1,0,1,4,0,0
61,8,0,3,0,0,14,13,8,0
65,8,21,27,20,8,6,9,0,0
67,8,0,0,18,15,19,21,27,0
76,8,0,0,0,0,1,0,0,0
77,8,0,0,0,0,0,0,0,0
82,8,4,0,0,0,0,13,21,0
84,8,1,1,2,1,2,1,1,0
95,8,0,0,0,0,0,0,0,0
100,8,0,0,0,0,0,0,0,0
101,8,88,68,33,15,14,13,3,0
108,8,0,0,0,0,0,0,0,0
123,8,61,47,42,41,55,62,53,0
139,8,0,0,0,1,1,0,1,0
140,8,0,0,0,0,1,1,1,0
142,8,0,0,0,0,0,0,0,0
143,8,22,15,7,2,1,0,0,0
153,8,0,0,0,0,0,0,0,0
157,8,0,0,0,0,0,0,0,0
158,8,0,0,0,0,0,0,0,0
167,8,2,1,2,1,1,0,0,0
185,8,12,13,6,0,0,0,0,0
2,9,0,0,0,0,6,8,7,0
10,9,166,193,173,175,178,208,196,0
17,9,668,1465,812,652,461,466,424,0
23,9,0,0,6,7,7,8,8,0
27,9,14,14,12,14,15,21,19,0
33,9,1460,1641,1361,1339,1442,1438,1409,0
43,9,38,58,71,118,96,96,123,0
45,9,23,20,21,18,53,64,72,0
46,9,71,77,80,80,84,84,80,0
47,9,835,936,734,687,723,852,802,0
57,9,20,23,51,17,14,23,35,0
60,9,205,242,234,234,253,269,442,0
61,9,2719,2254,2134,2028,2128,2241,1994,0
65,9,2445,2470,2191,2163,2584,2723,2560,0
67,9,304,394,746,633,1119,1253,1120,0
75,9,2707,2654,2445,2284,2433,2660,2439,0
76,9,65,60,76,96,100,92,88,0
77,9,24,35,40,62,77,79,84,0
82,9,2288,2765,2975,3138,3758,5467,5736,0
84,9,1570,1561,1439,1590,1705,1755,1570,0
86,9,0,2942,2384,2680,2862,2903,0,0
95,9,5,3,3,2,5,6,10,0
100,9,9,8,0,0,11,0,16,0
101,9,282,303,332,334,397,406,386,0
105,9,1630,1574,1159,907,1039,852,1262,607
108,9,35,0,0,0,130,0,0,0
123,9,2697,2075,1761,2104,2733,2592,0,0
