Conflict,Belligerent,Recipient,Year,Belligerent ID,Recipient ID,Estimated Expenditure (Current USD 2020 Million),
Yemeni Civil War,Eritrea,Yemen,2017,56,191,10,
Civil war,Yemen,Yemen,2017,191,191,500,
Yemeni Civil War,Iran,Yemen,2018,80,191,100,
Yemeni Civil War,Iraq,Yemen,2018,81,191,20,
Yemeni Civil War,Saudi Arabia,Yemen,2018,151,191,500,
Yemeni Civil War,United Arab Emirates,Yemen,2018,184,191,500,
Yemeni Civil War,Senegal,Yemen,2018,152,191,10,
Yemeni Civil War,Sudan,Yemen,2018,165,191,10,
Yemeni Civil War,Morocco,Yemen,2018,117,191,10,
Yemeni Civil War,Bahrain,Yemen,2018,13,191,10,
Yemeni Civil War,Egypt,Yemen,2018,53,191,10,
Yemeni Civil War,Jordan,Yemen,2018,87,191,10,
Yemeni Civil War,France,Yemen,2018,61,191,25,
Yemeni Civil War,Mauritania,Yemen,2018,110,191,10,
Yemeni Civil War,Kuwait,Yemen,2018,92,191,10,
Yemeni Civil War,United States,Yemen,2018,186,191,100,
Yemeni Civil War,United Kingdom,Yemen,2018,185,191,50,
Yemeni Civil War,Italy,Yemen,2018,84,191,10,
Yemeni Civil War,Spain,Yemen,2018,163,191,10,
Yemeni Civil War,Somalia,Yemen,2018,160,191,10,
Yemeni Civil War,Pakistan,Yemen,2018,131,191,25,
Yemeni Civil War,Malaysia,Yemen,2018,105,191,10,
Yemeni Civil War,Turkey,Yemen,2018,179,191,10,
Yemeni Civil War,Eritrea,Yemen,2018,56,191,10,
Civil war,Yemen,Yemen,2018,191,191,500,
Yemeni Civil War,Iran,Yemen,2019,80,191,100,
Yemeni Civil War,Iraq,Yemen,2019,81,191,20,
Yemeni Civil War,Saudi Arabia,Yemen,2019,151,191,500,
Yemeni Civil War,United Arab Emirates,Yemen,2019,184,191,500,
Yemeni Civil War,Senegal,Yemen,2019,152,191,10,
Yemeni Civil War,Sudan,Yemen,2019,165,191,10,
Yemeni Civil War,Morocco,Yemen,2019,117,191,10,
Yemeni Civil War,Bahrain,Yemen,2019,13,191,10,
Yemeni Civil War,Egypt,Yemen,2019,53,191,10,
Yemeni Civil War,Jordan,Yemen,2019,87,191,10,
Yemeni Civil War,France,Yemen,2019,61,191,25,
Yemeni Civil War,Mauritania,Yemen,2019,110,191,10,
Yemeni Civil War,Kuwait,Yemen,2019,92,191,10,
Yemeni Civil War,United States,Yemen,2019,186,191,100,
Yemeni Civil War,United Kingdom,Yemen,2019,185,191,50,
Yemeni Civil War,Italy,Yemen,2019,84,191,10,
Yemeni Civil War,Spain,Yemen,2019,163,191,10,
Yemeni Civil War,Somalia,Yemen,2019,160,191,10,
Yemeni Civil War,Pakistan,Yemen,2019,131,191,25,
Yemeni Civil War,Malaysia,Yemen,2019,105,191,10,
Yemeni Civil War,Turkey,Yemen,2019,179,191,10,
Yemeni Civil War,Eritrea,Yemen,2019,56,191,10,
Civil war,Yemen,Yemen,2019,191,191,500,
Yemeni Civil War,Iran,Yemen,2020,80,191,100,
Yemeni Civil War,Iraq,Yemen,2020,81,191,20,
Yemeni Civil War,Saudi Arabia,Yemen,2020,151,191,500,
Yemeni Civil War,United Arab Emirates,Yemen,2020,184,191,500,
Yemeni Civil War,Senegal,Yemen,2020,152,191,10,
Yemeni Civil War,Bahrain,Yemen,2020,13,191,10,
Yemeni Civil War,Egypt,Yemen,2020,53,191,10,
Yemeni Civil War,Jordan,Yemen,2020,87,191,10,
Yemeni Civil War,France,Yemen,2020,61,191,25,
Yemeni Civil War,Mauritania,Yemen,2020,110,191,10,
Yemeni Civil War,Kuwait,Yemen,2020,92,191,10,
Yemeni Civil War,United States,Yemen,2020,186,191,100,
Yemeni Civil War,United Kingdom,Yemen,2020,185,191,50,
Yemeni Civil War,Italy,Yemen,2020,84,191,10,
Yemeni Civil War,Spain,Yemen,2020,163,191,10,
Yemeni Civil War,Somalia,Yemen,2020,160,191,10,
Yemeni Civil War,Pakistan,Yemen,2020,131,191,25,
Yemeni Civil War,Malaysia,Yemen,2020,105,191,10,
Yemeni Civil War,Turkey,Yemen,2020,179,191,10,
Yemeni Civil War,Eritrea,Yemen,2020,56,191,10,
