Year,Conversion Factor to USD 2020
1995,1.6982
1996,1.6495
1997,1.6125
1998,1.5878
1999,1.5535
2000,1.503
2001,1.4614
2002,1.4386
2003,1.4066
2004,1.3701
2005,1.3252
2006,1.2838
2007,1.2482
2008,1.2021
2009,1.2064
2010,1.1869
2011,1.1506
2012,1.1273
2013,1.111
2014,1.0933
2015,1.092
2016,1.0784
2017,1.0559
2018,1.0302
2019,1.0123
2020,1
