Exporter,Importer,Lookup,2013,2014,2015,2016,2017,2018,2019,2020
Portugal,Algeria,PortugalAlgeria,37,52,45,44,28,43,15,
Romania,Algeria,RomaniaAlgeria,3,2,2,2,2,1,2,
Russian Federation,Algeria,Russian FederationAlgeria,73,186,170,249,242,186,495,
Serbia,Algeria,SerbiaAlgeria,8,5,8,7,3,4,1,
Slovakia,Algeria,SlovakiaAlgeria,0,0,0,0,2,2,1,
Slovenia,Algeria,SloveniaAlgeria,0,0,0,0,0,0,0,
Sweden,Algeria,SwedenAlgeria,228,224,150,77,36,43,41,
United Kingdom,Algeria,United KingdomAlgeria,163,219,153,,,,,
Albania,Angola,AlbaniaAngola,,,,,0,0,,
Austria,Angola,AustriaAngola,3,21,14,27,11,22,13,
Belgium,Angola,BelgiumAngola,135,118,193,58,50,56,45,
Bosnia and Herzegovina,Angola,Bosnia and HerzegovinaAngola,,,0,0,0,0,0,
Bulgaria,Angola,BulgariaAngola,2,0,0,0,0,0,0,
Croatia,Angola,CroatiaAngola,0,1,0,0,1,0,0,
Cyprus,Angola,CyprusAngola,0,,3,2,8,9,8,
Czech Republic,Angola,Czech RepublicAngola,1,1,1,1,0,1,0,
Denmark,Angola,DenmarkAngola,41,46,69,78,33,24,24,
Estonia,Angola,EstoniaAngola,0,0,0,0,4,0,0,
Finland,Angola,FinlandAngola,5,5,3,1,1,0,1,
France,Angola,FranceAngola,1433,2508,2767,2990,968,712,601,
Germany,Angola,GermanyAngola,68,50,42,48,58,68,71,
Greece,Angola,GreeceAngola,2,8,99,76,74,80,74,
Hungary,Angola,HungaryAngola,1,1,0,1,0,1,1,
Iceland,Angola,IcelandAngola,0,0,0,0,0,0,0,
Ireland,Angola,IrelandAngola,15,45,,,,,,
Italy,Angola,ItalyAngola,16,17,35,16,114,245,151,
Latvia,Angola,LatviaAngola,0,0,0,0,0,0,0,
Lithuania,Angola,LithuaniaAngola,0,0,0,1,0,,0,
Luxembourg,Angola,LuxembourgAngola,5,5,9,15,10,6,4,
Malta,Angola,MaltaAngola,,,,,0,,,
Netherlands,Angola,NetherlandsAngola,500,782,691,428,208,384,336,
Poland,Angola,PolandAngola,0,73,7,30,14,4,0,
Portugal,Angola,PortugalAngola,1901,2188,1700,1155,1319,1177,937,
Romania,Angola,RomaniaAngola,1,2,2,2,0,1,0,
Russian Federation,Angola,Russian FederationAngola,10,105,218,92,48,18,11,
Serbia,Angola,SerbiaAngola,7,0,0,0,0,0,16,
Slovakia,Angola,SlovakiaAngola,0,0,0,0,0,0,0,
Slovenia,Angola,SloveniaAngola,0,0,0,0,0,0,0,
Sweden,Angola,SwedenAngola,159,112,67,47,38,27,49,
United Kingdom,Angola,United KingdomAngola,1469,2077,1131,,,,,
Albania,Antigua and Barbuda,AlbaniaAntigua and Barbuda,,,,,0,0,,
Austria,Antigua and Barbuda,AustriaAntigua and Barbuda,0,1,3,1,12,15,16,
Belgium,Antigua and Barbuda,BelgiumAntigua and Barbuda,0,3,1,1,1,1,1,
Bosnia and Herzegovina,Antigua and Barbuda,Bosnia and HerzegovinaAntigua and Barbuda,,,0,0,0,0,0,
Bulgaria,Antigua and Barbuda,BulgariaAntigua and Barbuda,0,0,0,0,0,0,1,
Croatia,Antigua and Barbuda,CroatiaAntigua and Barbuda,0,1,0,0,0,0,0,
Cyprus,Antigua and Barbuda,CyprusAntigua and Barbuda,0,0,1,1,1,1,1,
Czech Republic,Antigua and Barbuda,Czech RepublicAntigua and Barbuda,2,3,4,3,3,7,1,
Denmark,Antigua and Barbuda,DenmarkAntigua and Barbuda,1,0,0,0,1,0,0,
Estonia,Antigua and Barbuda,EstoniaAntigua and Barbuda,1,2,3,5,6,8,7,
Finland,Antigua and Barbuda,FinlandAntigua and Barbuda,17,21,7,6,0,0,2,
France,Antigua and Barbuda,FranceAntigua and Barbuda,3,7,2,2,2,20,19,
Germany,Antigua and Barbuda,GermanyAntigua and Barbuda,15,11,9,8,8,9,8,
Greece,Antigua and Barbuda,GreeceAntigua and Barbuda,0,0,2,2,1,1,0,
Hungary,Antigua and Barbuda,HungaryAntigua and Barbuda,0,0,0,,,0,0,
Iceland,Antigua and Barbuda,IcelandAntigua and Barbuda,0,0,0,0,2,2,1,
Ireland,Antigua and Barbuda,IrelandAntigua and Barbuda,13,,,,,0,0,
Italy,Antigua and Barbuda,ItalyAntigua and Barbuda,2,2,3,2,2,2,2,
Latvia,Antigua and Barbuda,LatviaAntigua and Barbuda,4,4,3,3,2,2,1,
Lithuania,Antigua and Barbuda,LithuaniaAntigua and Barbuda,1,1,1,1,0,,1,
Luxembourg,Antigua and Barbuda,LuxembourgAntigua and Barbuda,0,29,16,17,16,20,22,
Malta,Antigua and Barbuda,MaltaAntigua and Barbuda,,,,,2,,,
Netherlands,Antigua and Barbuda,NetherlandsAntigua and Barbuda,4,3,5,3,3,3,4,
Poland,Antigua and Barbuda,PolandAntigua and Barbuda,1,1,0,1,1,1,1,
Portugal,Antigua and Barbuda,PortugalAntigua and Barbuda,1,0,0,1,2,1,0,
Romania,Antigua and Barbuda,RomaniaAntigua and Barbuda,0,1,1,1,1,1,0,
Russian Federation,Antigua and Barbuda,Russian FederationAntigua and Barbuda,1,0,0,0,0,0,0,
Serbia,Antigua and Barbuda,SerbiaAntigua and Barbuda,0,0,0,0,0,0,0,
Slovakia,Antigua and Barbuda,SlovakiaAntigua and Barbuda,0,0,0,0,0,0,0,
Slovenia,Antigua and Barbuda,SloveniaAntigua and Barbuda,3,4,4,2,1,1,0,
Sweden,Antigua and Barbuda,SwedenAntigua and Barbuda,2,4,4,3,3,4,3,
United Kingdom,Antigua and Barbuda,United KingdomAntigua and Barbuda,12,7,24,,,,,
Albania,Argentina,AlbaniaArgentina,,,,,1,1,2,
Austria,Argentina,AustriaArgentina,28,24,20,19,23,22,22,
Belgium,Argentina,BelgiumArgentina,135,130,126,147,114,135,132,
Bosnia and Herzegovina,Argentina,Bosnia and HerzegovinaArgentina,,,0,0,0,0,0,
Bulgaria,Argentina,BulgariaArgentina,2,2,2,2,3,3,3,
Canada,Argentina,CanadaArgentina,138,170,164,117,113,120,124,
Croatia,Argentina,CroatiaArgentina,3,8,3,5,27,11,6,
Cyprus,Argentina,CyprusArgentina,,25,1,0,0,0,0,
Czech Republic,Argentina,Czech RepublicArgentina,5,7,4,5,3,3,4,
Denmark,Argentina,DenmarkArgentina,187,181,166,150,170,190,204,
Estonia,Argentina,EstoniaArgentina,2,1,1,1,2,1,3,
Finland,Argentina,FinlandArgentina,48,48,54,69,69,28,30,
France,Argentina,FranceArgentina,703,736,608,526,634,687,521,
Germany,Argentina,GermanyArgentina,754,699,632,698,918,921,817,
Greece,Argentina,GreeceArgentina,50,62,211,206,279,290,388,
Hong Kong,Argentina,Hong KongArgentina,,,,,,,,
Hungary,Argentina,HungaryArgentina,2,2,3,4,22,19,3,
Iceland,Argentina,IcelandArgentina,1,1,1,1,3,3,2,
Ireland,Argentina,IrelandArgentina,105,116,189,206,183,99,54,
Italy,Argentina,ItalyArgentina,665,661,703,668,949,1059,909,
Latvia,Argentina,LatviaArgentina,0,0,1,0,0,4,1,
Lithuania,Argentina,LithuaniaArgentina,2,6,,,5,,1,
Luxembourg,Argentina,LuxembourgArgentina,70,69,71,61,78,56,44,
Malta,Argentina,MaltaArgentina,,,,,1,,,
Netherlands,Argentina,NetherlandsArgentina,710,615,620,537,691,873,,
Poland,Argentina,PolandArgentina,3,6,8,8,8,10,10,
Portugal,Argentina,PortugalArgentina,36,25,36,41,59,54,49,
Romania,Argentina,RomaniaArgentina,2,2,2,2,3,4,4,
Russian Federation,Argentina,Russian FederationArgentina,3,7,4,4,6,5,8,
Serbia,Argentina,SerbiaArgentina,0,0,0,0,0,0,1,
Slovakia,Argentina,SlovakiaArgentina,2,1,1,1,1,1,1,
Slovenia,Argentina,SloveniaArgentina,1,1,0,1,1,1,1,
Spain,Argentina,SpainArgentina,1133,1216,1102,1111,1377,1574,1374,
Sweden,Argentina,SwedenArgentina,114,221,141,316,307,234,261,
United Kingdom,Argentina,United KingdomArgentina,439,295,454,470,606,587,476,332
United States,Argentina,United StatesArgentina,7092,6881,8013,7713,8633,8386,7588,4155
Albania,Armenia,AlbaniaArmenia,,,,,0,0,,
Austria,Armenia,AustriaArmenia,20,20,13,12,16,14,22,
Belgium,Armenia,BelgiumArmenia,8,24,7,8,8,9,11,
Bosnia and Herzegovina,Armenia,Bosnia and HerzegovinaArmenia,,,0,0,0,0,0,
Bulgaria,Armenia,BulgariaArmenia,8,8,7,7,5,7,9,
Croatia,Armenia,CroatiaArmenia,2,1,0,1,1,4,2,
Cyprus,Armenia,CyprusArmenia,0,0,0,0,0,0,0,
Czech Republic,Armenia,Czech RepublicArmenia,4,3,3,3,4,5,6,
Denmark,Armenia,DenmarkArmenia,2,4,4,5,5,4,5,
Estonia,Armenia,EstoniaArmenia,1,1,1,0,0,2,6,
Finland,Armenia,FinlandArmenia,4,4,1,2,1,1,1,
France,Armenia,FranceArmenia,29,28,27,14,78,76,72,
Germany,Armenia,GermanyArmenia,29,32,39,,,,,
Greece,Armenia,GreeceArmenia,5,3,3,9,3,8,9,
Hungary,Armenia,HungaryArmenia,0,0,0,0,0,0,0,
Iceland,Armenia,IcelandArmenia,0,0,0,0,0,0,0,
Ireland,Armenia,IrelandArmenia,1,5,-3,1,-14,,,
Italy,Armenia,ItalyArmenia,19,18,8,7,8,12,26,
Latvia,Armenia,LatviaArmenia,3,3,13,7,9,4,6,
Lithuania,Armenia,LithuaniaArmenia,1,1,2,1,2,,10,
Luxembourg,Armenia,LuxembourgArmenia,3,11,16,8,2,2,1,
Malta,Armenia,MaltaArmenia,1,,,,,,,
Netherlands,Armenia,NetherlandsArmenia,11,8,6,6,10,11,8,
Poland,Armenia,PolandArmenia,6,11,11,11,17,15,16,
Portugal,Armenia,PortugalArmenia,0,0,1,1,1,1,4,
Romania,Armenia,RomaniaArmenia,1,1,1,1,1,1,3,
Russian Federation,Armenia,Russian FederationArmenia,360,319,288,313,373,403,361,
Serbia,Armenia,SerbiaArmenia,0,0,0,0,0,2,4,
Slovakia,Armenia,SlovakiaArmenia,0,0,0,0,0,0,0,
Slovenia,Armenia,SloveniaArmenia,0,0,0,1,2,1,1,
Sweden,Armenia,SwedenArmenia,18,26,9,10,7,8,10,
United Kingdom,Armenia,United KingdomArmenia,6,18,12,,,,,
Albania,Aruba,AlbaniaAruba,,,,,0,0,,
Austria,Aruba,AustriaAruba,3,0,2,1,0,0,0,
Belgium,Aruba,BelgiumAruba,0,1,1,2,1,2,1,
Bosnia and Herzegovina,Aruba,Bosnia and HerzegovinaAruba,,,0,0,0,0,0,
Bulgaria,Aruba,BulgariaAruba,0,0,0,0,0,0,0,
Croatia,Aruba,CroatiaAruba,5,1,0,0,0,0,0,
Cyprus,Aruba,CyprusAruba,0,0,0,0,0,0,0,
Czech Republic,Aruba,Czech RepublicAruba,0,0,0,0,0,38,0,
Denmark,Aruba,DenmarkAruba,0,4,0,4,2,7,4,
Estonia,Aruba,EstoniaAruba,,0,0,,0,,0,
Finland,Aruba,FinlandAruba,0,1,1,0,1,4,0,
France,Aruba,FranceAruba,,3,,,14,13,8,
Germany,Aruba,GermanyAruba,21,27,20,8,6,9,,
Greece,Aruba,GreeceAruba,0,0,18,15,19,21,27,
Hungary,Aruba,HungaryAruba,0,0,0,,1,0,,
Iceland,Aruba,IcelandAruba,0,0,0,0,0,0,0,
Ireland,Aruba,IrelandAruba,4,,,,,13,21,
Italy,Aruba,ItalyAruba,1,1,2,1,2,1,1,
Latvia,Aruba,LatviaAruba,0,0,0,0,0,0,0,
Lithuania,Aruba,LithuaniaAruba,0,,,,,,0,
Luxembourg,Aruba,LuxembourgAruba,88,68,33,15,14,13,3,
Malta,Aruba,MaltaAruba,,,,,0,,,
Netherlands,Aruba,NetherlandsAruba,61,47,42,41,55,62,53,
Poland,Aruba,PolandAruba,0,0,0,1,1,0,1,
Portugal,Aruba,PortugalAruba,0,0,0,0,1,1,1,
Romania,Aruba,RomaniaAruba,,,0,0,0,0,0,
Russian Federation,Aruba,Russian FederationAruba,22,15,7,2,1,,,
Serbia,Aruba,SerbiaAruba,0,0,0,0,0,0,0,
Slovakia,Aruba,SlovakiaAruba,0,0,0,0,0,0,0,
Slovenia,Aruba,SloveniaAruba,0,0,0,0,0,0,0,
Sweden,Aruba,SwedenAruba,2,1,2,1,1,0,0,
United Kingdom,Aruba,United KingdomAruba,12,13,6,,,,,
Albania,Australia,AlbaniaAustralia,,,,,6,8,7,
Austria,Australia,AustriaAustralia,166,193,173,175,178,208,196,
Belgium,Australia,BelgiumAustralia,668,1465,812,652,461,466,424,
Bosnia and Herzegovina,Australia,Bosnia and HerzegovinaAustralia,,,6,7,7,8,8,
Bulgaria,Australia,BulgariaAustralia,14,14,12,14,15,21,19,
Canada,Australia,CanadaAustralia,1460,1641,1361,1339,1442,1438,1409,
